#This data comes from Table 4 of Zorec & Royer (2012): 2012A&A...537A.120Z ,,,,,,
mass_low,mass_high,slow_frac,slow_mu,fast_frac,fast_mu,fast_l
1.6,2,0,25,100,114,46
1.7,2.1,0,25,100,124,46
1.8,2.1,0,25,100,128,48
1.9,2.3,0,25,100,133,44
2,2.4,0,25,100,140,45
2.1,2.5,3,25,97,154,27
2.2,2.6,8,37,92,164,18
2.3,2.7,12,44,88,179,12
2.35,2.85,12,47,88,210,0
2.45,2.95,18,52,82,185,14
2.55,3.05,20,61,80,191,20
2.65,3.15,15,55,85,183,24
2.65,3.35,14,52,86,187,29
2.75,3.45,13,47,87,201,18
2.85,3.55,10,39,90,202,20
2.95,3.65,6,32,94,224,0
3.05,3.75,5,31,95,229,0
3.15,3.85,8,32,92,224,15
